#TLB experiment
#	page size = 64 bytes
#	max number of pages = 4096
#	total number of references = 10 Mi
#pages	 proc	 sum
4	 0.01111	 10485760
6	 0.00497	 10485756
8	 0.00451	 10485760
10	 0.00458	 10485760
12	 0.00439	 10485756
14	 0.00407	 10485748
16	 0.00398	 10485760
18	 0.00406	 10485756
20	 0.00413	 10485760
22	 0.00409	 10485750
24	 0.00404	 10485744
26	 0.00393	 10485748
28	 0.00447	 10485748
30	 0.00410	 10485750
32	 0.00391	 10485760
34	 0.00397	 10485736
36	 0.00778	 10485756
38	 0.00475	 10485758
40	 0.00831	 10485760
42	 0.00799	 10485720
44	 0.00842	 10485728
46	 0.00394	 10485746
48	 0.00401	 10485744
50	 0.00406	 10485750
52	 0.00442	 10485748
54	 0.00427	 10485720
56	 0.00414	 10485720
58	 0.00403	 10485704
60	 0.00430	 10485720
62	 0.00406	 10485750
64	 0.00412	 10485760
66	 0.00410	 10485750
68	 0.00420	 10485736
70	 0.00411	 10485720
72	 0.00415	 10485720
74	 0.00411	 10485726
76	 0.00548	 10485720
78	 0.00546	 10485696
80	 0.00530	 10485760
82	 0.00548	 10485750
84	 0.00536	 10485720
86	 0.00544	 10485722
88	 0.00565	 10485728
90	 0.00416	 10485720
92	 0.00428	 10485700
94	 0.00429	 10485700
96	 0.00517	 10485696
98	 0.00536	 10485706
100	 0.00508	 10485700
102	 0.00516	 10485702
104	 0.00512	 10485696
106	 0.00514	 10485732
108	 0.00525	 10485720
110	 0.00521	 10485750
112	 0.00515	 10485664
114	 0.00531	 10485720
116	 0.00512	 10485704
118	 0.00518	 10485716
120	 0.00542	 10485720
122	 0.00510	 10485656
124	 0.00516	 10485688
126	 0.00516	 10485720
128	 0.00515	 10485760
130	 0.00503	 10485670
132	 0.00512	 10485684
134	 0.00517	 10485634
136	 0.00506	 10485736
138	 0.00497	 10485654
140	 0.00503	 10485720
142	 0.00496	 10485706
144	 0.00497	 10485648
146	 0.00507	 10485720
148	 0.00498	 10485652
150	 0.00496	 10485750
152	 0.00498	 10485720
154	 0.00500	 10485706
156	 0.00503	 10485696
158	 0.00495	 10485670
160	 0.00489	 10485760
162	 0.00493	 10485612
164	 0.00489	 10485668
166	 0.00506	 10485722
168	 0.00496	 10485720
170	 0.00498	 10485600
172	 0.00494	 10485636
174	 0.00499	 10485588
176	 0.00494	 10485728
178	 0.00498	 10485624
180	 0.00493	 10485720
182	 0.00487	 10485748
184	 0.00499	 10485608
186	 0.00489	 10485750
188	 0.00503	 10485700
190	 0.00482	 10485720
192	 0.00496	 10485696
194	 0.00494	 10485700
196	 0.00499	 10485608
198	 0.00486	 10485684
200	 0.00498	 10485600
202	 0.00479	 10485618
204	 0.00483	 10485600
206	 0.00481	 10485606
208	 0.00505	 10485696
210	 0.00534	 10485720
212	 0.00487	 10485732
214	 0.00490	 10485572
216	 0.00511	 10485720
218	 0.00551	 10485582
220	 0.00576	 10485640
222	 0.00483	 10485726
224	 0.00493	 10485664
226	 0.00497	 10485722
228	 0.00502	 10485720
230	 0.00486	 10485700
232	 0.00495	 10485704
234	 0.00490	 10485540
236	 0.00482	 10485716
238	 0.00498	 10485566
240	 0.00507	 10485600
242	 0.00490	 10485618
244	 0.00493	 10485656
246	 0.00501	 10485750
248	 0.00485	 10485688
250	 0.00484	 10485750
252	 0.00479	 10485720
254	 0.00485	 10485628
256	 0.00489	 10485760
258	 0.00477	 10485636
260	 0.00499	 10485540
262	 0.00474	 10485502
264	 0.00487	 10485552
266	 0.00490	 10485720
268	 0.00491	 10485500
270	 0.00499	 10485720
272	 0.00480	 10485600
274	 0.00494	 10485706
276	 0.00477	 10485516
278	 0.00485	 10485604
280	 0.00517	 10485720
282	 0.00490	 10485606
284	 0.00487	 10485564
286	 0.00481	 10485618
288	 0.00477	 10485504
290	 0.00479	 10485530
292	 0.00488	 10485720
294	 0.00488	 10485510
296	 0.00486	 10485504
298	 0.00483	 10485726
300	 0.00489	 10485600
302	 0.00494	 10485742
304	 0.00483	 10485568
306	 0.00474	 10485702
308	 0.00491	 10485552
310	 0.00471	 10485750
312	 0.00491	 10485696
314	 0.00482	 10485716
316	 0.00476	 10485512
318	 0.00480	 10485732
320	 0.00476	 10485760
322	 0.00490	 10485608
324	 0.00485	 10485612
326	 0.00483	 10485464
328	 0.00482	 10485504
330	 0.00489	 10485750
332	 0.00469	 10485556
334	 0.00478	 10485596
336	 0.00479	 10485552
338	 0.00469	 10485436
340	 0.00487	 10485600
342	 0.00477	 10485720
344	 0.00491	 10485464
